City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
233,San Pedro,14.35,121.0167,81.63,75,75,2.3,PH,broken clouds
234,Guerrero Negro,27.9769,-114.0611,72.66,63,0,8.28,MX,clear sky
235,Gravdal,68.1214,13.5031,44.28,100,40,2.3,NO,scattered clouds
236,Manono,-7.3,27.4167,67.84,96,81,6.71,CD,light rain
237,Devonport,-41.1667,146.35,48.09,84,13,7.18,AU,few clouds
238,Seoul,37.5683,126.9778,51.24,100,75,2.3,KR,fog
239,Prince George,53.9166,-122.753,42.62,100,90,9.22,CA,overcast clouds
240,Sao Miguel Do Araguaia,-13.275,-50.1628,80.02,75,98,8.63,BR,overcast clouds
241,Ixtapa,20.7,-105.2,84.22,76,23,5.99,MX,few clouds
242,Luderitz,-26.6481,15.1594,62.74,74,31,19.48,NA,scattered clouds
243,Vicuna,-30.0319,-70.7081,82.78,36,100,10.76,CL,overcast clouds
244,Leningradskiy,69.3833,178.4167,-9.35,94,54,5.95,RU,broken clouds
245,Honningsvag,70.9821,25.9704,38.12,59,91,5.88,NO,overcast clouds
246,Taksimo,56.3444,114.8794,5.95,67,100,6.42,RU,overcast clouds
247,Thompson,55.7435,-97.8558,28.56,93,75,3.44,CA,broken clouds
248,East London,-33.0153,27.9116,67.14,88,0,3.44,ZA,clear sky
249,Ambilobe,-13.2,49.05,76.6,78,86,2.21,MG,overcast clouds
250,Kahului,20.8947,-156.47,77.85,88,18,7.0,US,light rain
251,Rorvik,64.8621,11.2373,40.98,100,75,2.3,NO,broken clouds
252,Luena,-11.7833,19.9167,68.11,75,70,3.4,AO,broken clouds
253,Rockhampton,-23.3833,150.5,66.09,77,40,5.75,AU,scattered clouds
254,Angoche,-16.2325,39.9086,78.06,84,0,12.48,MZ,clear sky
255,Severo-Kurilsk,50.6789,156.125,36.07,81,79,3.4,RU,broken clouds
256,Sedhiou,12.7081,-15.5569,83.43,67,70,2.51,SN,light rain
257,Tyler,32.3513,-95.3011,55.62,53,0,5.01,US,clear sky
258,Sao Joao Da Barra,-21.6403,-41.0511,80.69,75,77,14.25,BR,broken clouds
259,Mahebourg,-20.4081,57.7,73.69,83,20,3.44,MU,few clouds
260,Vanimo,-2.6741,141.3028,76.35,90,98,5.32,PG,overcast clouds
261,Te Anau,-45.4167,167.7167,42.17,95,75,1.1,NZ,broken clouds
